ID,Brand,Category,Sub_category,Sub_Sub_Category,Product_Name,SKU,Price,Offer_Price,Description,Product_Id,Image1,Image2,image3,image4,image5,,,
1,Lidl,Daily Deals,Fresh Fruit,Citrus Fruit,Easy Peelers 1kg,70200,1.69,0.89,Please see photos for Allergy and Nutritional information.,1657553,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/70200/402175_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/70200/402176_orig.jpg,,,,,,
2,Lidl,Daily Deals,Fresh Fruit,Seeded Fruit,Loose Pears 1piece,70215,0.49,0.29,Please see photos for Allergy and Nutritional information.,1663987,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/70215/403591_orig.jpg,,,,,,,
3,Lidl,Daily Deals,Fresh Veg,Delicate Vegetables,Courgettes 500g,70284,0.99,0.59,Please see photos for Allergy and Nutritional information.,1663194,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/70284/402054_orig.jpg,,,,,,,
4,Lidl,Daily Deals,Fresh Veg,Peppers,Mixed Peppers 3pack,70297,1.59,0.99,Please see photos for Allergy and Nutritional information.,1664109,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/70297/403638_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/70297/403639_orig.jpg,,,,,,
5,Lidl,Daily Deals,Fresh Veg,Chunky Vegetables,Turnip 1piece,70305,0.89,0.49,Please see photos for Allergy and Nutritional information.,1664048,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/70305/403600_orig.jpg,,,,,,,
6,Lidl,Daily Deals,Chilled Food,Cold Meats,Irish Topside Ham 130g,74187,2.49,1.89,Please see photos for Allergy and Nutritional information.,1662340,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/74187/410883_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/74187/410884_orig.jpg,,,,,,
7,Lidl,Daily Deals,Chilled Food,Cold Meats,Classic Smoked Salami  200g,70432,2.49,2.09,Please see photos for Allergy and Nutritional information.,1667571,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/70432/404530_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/70432/404531_orig.jpg,,,,,,
8,Lidl,Daily Deals,Chilled Food,Cold Meats,Irish Crumbed Ham 130g,74191,2.49,1.89,Please see photos for Allergy and Nutritional information.,1662401,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/74191/408908_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/74191/408909_orig.jpg,,,,,,
9,Lidl,Daily Deals,Chilled Food,Cold Meats,Smoked Turkey Salami  200g,70430,2.49,2.09,Please see photos for Allergy and Nutritional information.,1667449,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/70430/404528_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/70430/404529_orig.jpg,,,,,,
10,Lidl,Daily Deals,Chilled Food,Cold Meats,Unsmoked Back Bacon Joint 1.2kg,73012,5.99,4.99,Please see photos for Allergy and Nutritional information.,1656634,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/73012/410032_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/73012/396663_orig.jpg,,,,,,
11,Lidl,Daily Deals,Chilled Food,Cold Meats,Spicy Smoked Salami  200g,70431,2.49,2.09,Please see photos for Allergy and Nutritional information.,1667510,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/70431/389821_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/70431/389822_orig.jpg,,,,,,
